week_of_year,is_holiday,is_weekend,season,discount_percent,price_per_unit,storeid,productid,prev_week_sales,next_week_sales
1,1.0,0.0,1.0,1.0,0.3017437452615619,1,1,0.013970722830175267,67.30380436937877
2,0.0,0.0,1.0,0.6666666666666666,0.4556482183472328,1,1,0.06357564717565317,72.5031481693109
3,0.0,0.0,1.0,0.0,0.7096285064442761,1,1,0.07568207903026017,70.09001762761672
4,0.0,0.0,0.3333333333333333,0.3333333333333333,0.4821834723275209,1,1,0.07006321603842014,71.72298462430257
5,1.0,0.0,0.3333333333333333,0.3333333333333333,0.3821076573161486,1,1,0.07386550425534044,81.02064500994628
6,0.0,1.0,0.3333333333333333,0.0,0.6914329037149356,1,1,0.09551467695816188,84.22207494517548
7,0.0,1.0,0.6666666666666666,0.0,0.2084912812736922,1,1,0.10296905867238074,85.13249988669354
8,0.0,0.0,0.6666666666666666,0.6666666666666666,0.3896891584533738,1,1,0.10508894109165196,92.21554888315083
9,0.0,0.0,0.6666666666666666,1.0,0.3631539044730857,1,1,0.12158149347866126,100.35930757099835
10,1.0,0.0,0.0,0.6666666666666666,0.2463987869598181,1,1,0.1405438593826195,119.21826948709275
11,0.0,0.0,0.0,1.0,0.38741470811220624,1,1,0.18445608101505045,131.7671146665125
12,0.0,1.0,0.0,0.6666666666666666,0.3904473085670963,1,1,0.2136754873217928,146.9076572092309
13,0.0,0.0,1.0,0.3333333333333333,0.37907505686125864,1,1,0.24892954121559213,151.16253685132418
14,0.0,1.0,1.0,0.0,0.3563305534495831,1,1,0.25883683190816553,151.0557728371424
15,0.0,0.0,1.0,1.0,0.46777862016679317,1,1,0.2585882368331038,160.9493509792306
16,0.0,0.0,0.3333333333333333,0.6666666666666666,0.4116755117513269,1,1,0.28162497650340285,165.86281049538042
17,0.0,0.0,0.3333333333333333,0.3333333333333333,0.27824109173616374,1,1,0.2930657400096389,170.80579502409574
18,0.0,1.0,0.3333333333333333,0.3333333333333333,0.5193328278999243,1,1,0.30457525114372663,173.82396114235033
19,0.0,0.0,0.6666666666666666,0.0,0.5822592873388932,1,1,0.31160291152598674,170.72269770473028
20,0.0,0.0,0.6666666666666666,1.0,0.5890826383623958,1,1,0.3043817628742624,187.56371788727438
21,0.0,1.0,0.6666666666666666,0.3333333333333333,0.3169067475360122,1,1,0.3435953003988809,191.0031294602006
22,0.0,0.0,0.0,0.3333333333333333,0.8248673237300986,1,1,0.35160381136292246,193.74109983423534
23,0.0,0.0,0.0,0.0,0.5223654283548143,1,1,0.35797904889840093,187.0080195235099
24,0.0,1.0,0.0,0.0,0.34192570128885524,1,1,0.34230138242932495,187.48836871271556
25,0.0,0.0,1.0,0.0,0.5579984836997727,1,1,0.3434198533266736,185.91586563190228
26,0.0,0.0,1.0,0.6666666666666666,0.5420773313115997,1,1,0.33975835254473374,195.23818816869945
27,0.0,0.0,1.0,0.3333333333333333,0.34268385140257773,1,1,0.3614649499272487,197.12376341699704
28,0.0,1.0,0.3333333333333333,0.6666666666666666,0.444275966641395,1,1,0.3658554247888161,210.5553007080061
29,0.0,0.0,0.3333333333333333,0.0,0.44275966641395004,1,1,0.3971301389014579,206.84253409063348
30,0.0,1.0,0.3333333333333333,1.0,0.614101592115239,1,1,0.38848513334405116,225.7255670277842
31,0.0,0.0,0.6666666666666666,0.3333333333333333,0.45943896891584535,1,1,0.4324534032370516,229.77463282356825
32,0.0,0.0,0.6666666666666666,0.0,0.32827899924185,1,1,0.4418814658960587,228.90404919887612
33,0.0,0.0,0.6666666666666666,0.3333333333333333,0.9810462471569371,1,1,0.4398543521425482,227.04126758874136
34,0.0,0.0,0.0,0.6666666666666666,0.4473085670962851,1,1,0.4355169512144914,232.20015224495143
35,0.0,1.0,0.0,0.6666666666666666,0.4829416224412434,1,1,0.4475291758219506,242.5511375440197
36,0.0,1.0,0.0,1.0,0.7422289613343444,1,1,0.4716309669273675,258.6355166274798
37,0.0,0.0,1.0,0.0,0.38893100833965133,1,1,0.5090827006057823,252.9664088858511
38,0.0,0.0,1.0,0.6666666666666666,0.7164518574677786,1,1,0.4958824451136665,260.6388750398014
39,0.0,0.0,1.0,1.0,0.6087945413191813,1,1,0.5137474281237899,272.74737725912075
40,0.0,0.0,0.3333333333333333,1.0,0.40712661106899173,1,1,0.5419415161895687,282.198895495909
1,1.0,0.0,1.0,1.0,0.3540561031084155,1,2,0.011642269025146049,65.79631877438659
2,0.0,0.0,1.0,1.0,0.5898407884761183,1,2,0.06006553660596692,75.50354386479711
3,0.0,0.0,1.0,1.0,0.5238817285822595,1,2,0.0826683618040083,87.24678211611958
4,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3366186504927976,1,2,0.11001194959366464,89.92857201328871
5,1.0,0.0,0.3333333333333333,0.0,0.4746019711902958,1,2,0.11625637348401702,92.51639788661211
6,0.0,1.0,0.3333333333333333,1.0,0.48521607278241097,1,2,0.12228200648550994,107.4494465783797
7,0.0,1.0,0.6666666666666666,0.6666666666666666,0.579226686884003,1,2,0.15705292053254266,116.11450307708363
8,0.0,0.0,0.6666666666666666,0.6666666666666666,0.568612585291888,1,2,0.17722910430774286,120.27875600373301
9,0.0,0.0,0.6666666666666666,1.0,0.4480667172100077,1,2,0.18692537487990363,133.59976355516326
10,1.0,0.0,0.0,0.6666666666666666,0.35102350265352544,1,2,0.21794272559985428,148.4266405227519
11,0.0,0.0,0.0,0.6666666666666666,0.753601213040182,1,2,0.252466423691736,155.0973884028808
12,0.0,1.0,0.0,0.6666666666666666,0.6285064442759667,1,2,0.26799895197561263,166.52328472555018
